天涯比隣;てんがいひりん;/(n) a great distance does not detract from the feeling (relationship) of endearment/feeling as though a dear one faraway were living in one's close neighborhood/
天下無双;てんかむそう;/(n,adj-no) peerless (unparalleled, matchless, unequaled) in the country/
錦上添花;きんじょうてんか;/(n) adding a crowning touch of beauty (to)/giving added luster (to)/crowning beauty (honor, grace) with even greater glory/
豊年満作;ほうねんまんさく;/(n) bumper crops of rice (and other grains)/year of a full rice harvest/
種種雑多;しゅじゅざった;/(n,adj-na) all sorts or kinds (of)/motley/
三界流転;さんがいるてん;/(n) endless cycle of rebirth through the three worlds of past, present, and future existences/
風流三昧;ふうりゅうざんまい;/(n) taking delight in elegant artistic pursuits/being absorbed in such elegant cultural pursuits as poetry, painting and calligraphy/
舳艫千里;じくろせんり;/(n) a large number of ships sailing in a long chain-like formation/
士農工商;しのうこうしょう;/(n) the hierarchy of samurai, farmers, artisans, and merchants in Edo society/
事理明白;じりめいはく;/(n,adj-na) the facts being beyond dispute/the logic being indisputable/
版籍奉還;はんせきほうかん;/(n,vs) return of the lands and people from the feudal lords to the Emperor (1869)/
是非善悪;ぜひぜんあく;/(n) rights and wrongs/the relative merits (of a case)/propriety/
夷蛮戎狄;いばんじゅうてき;/(n) the barbarians beyond the borders of old China/
普遍妥当;ふへんだとう;/(n) universal validity/fitting into any situation/
腐敗堕落;ふはいだらく;/(n) debasement/corruption/degradation/
雌伏雄飛;しふくゆうひ;/(n,vs) biding one's time building up strength till finally grasping an opportunity to launch out and flourish/
不言不語;ふげんふご;/(n) without putting (needing to put) anything into words/
無位無官;むいむかん;/(n) (a plain citizen) having no special rank or title/being a common citizen/
牛鬼蛇神;ぎゅうきだしん;/(n,adj-no) wicked and perverse/weird and incoherent/
一伍一什;いちごいちじゅう;/(n) full particulars/the whole story/from beginning to end/
赤手空拳;せきしゅくうけん;/(n) barehanded/having no wealth or position to rely on (aside from one's own resourcefulness) (when embarking on something)/
熟思黙想;じゅくしもくそう;/(n,vs) consider (a matter) carefully and silently/be lost in silent contemplation/
事後承諾;じごしょうだく;/(n,vs) ex-post-facto approval/ratification/
証拠隠滅;しょうこいんめつ;/(n) destruction of evidence/
清浄無垢;せいじょうむく;/(n,adj-na) pure and innocent/immaculate/
物物交換;ぶつぶつこうかん;/(n) bartering/
頓首再拝;とんしゅさいはい;/(n) (hon) Respectfully yours/
博引傍証;はくいんぼうしょう;/(n,vs) citing copious references/
応急措置;おうきゅうそち;/(n) stopgap measure/quick-fix solution/
七生報国;しちしょうほうこく;/(n) unfailing devotion to one's country/
内疎外親;ないそがいしん;/(exp) superficially cordial but actually uninterested/
尸位素餐;しいそさん;/(n) neglecting the duties of an office while taking pay/
南征北伐;なんせいほくばつ;/(n) attacking in all directions/
衆口一致;しゅうこういっち;/(n,vs) speaking with one voice/being unanimous/
天神地祇;てんしんちぎ;/(n) gods of heaven and earth/
生生世世;しょうじょうぜぜ;/(n-adv,n) eternity/forever/through all eternity/
他人迷惑;たにんめいわく;"/(n) nuisance (annoyance, inconvenience) to people around one; social nuisance/"
傲慢不遜;ごうまんふそん;/(adj-na) haughty/arrogant/overbearing/intolerable insolence/
貴顕紳商;きけんしんしょう;/(n) merchant prince/
陰陽和合;いんようわごう;/(n) the harmony of yin and yang energies/
王侯貴族;おうこうきぞく;/(n) royalty and titled nobility/
民族自決;みんぞくじけつ;/(n) self-determination of peoples/national self-determination/
独身貴族;どくしんきぞく;/(n) unmarried persons living affluently/well-off single young man (woman)/swinging bachelor/
家族団欒;かぞくだんらん;/(n,vs) happy family circle/sitting in a family circle and enjoying conversation/harmony in a family/
人間疎外;にんげんそがい;/(n) dehumanization/alienation of man (human beings)/
自己疎外;じこそがい;/(n) self-alienation/self-estrangement/
跡目相続;あとめそうぞく;/(n) taking over as (the) head of a family/succession to the position of family head/successorship/
家督相続;かとくそうぞく;/(n,vs) taking over as (the) head of a family/succession to the position of family head/inheritance/
別居結婚;べっきょけっこん;/(n) commuter marriage/
交際下手;こうさいべた;/(n,adj-na) bad at socializing/bad in social situation/being a bad mixer/
鍋底景気;なべそこけいき;/(n) lingering recession/an economy that lingers in the doldrums after bottoming out/
弁当持参;べんとうじさん;/(n) bringing one's own lunch/
煎餅布団;せんべいぶとん;/(n) futon worn flat and hard by long use/futon as flat as a pancake/
助平根性;すけべいこんじょう;/(n) lewd disposition, lecherous nature/greedy motives/
緊急動議;きんきゅうどうぎ;/(n) urgent motion/
緊急事態;きんきゅうじたい;/(n) state of emergency/exigency/crisis/
越境入学;えっきょうにゅうがく;/(n,vs) gain admission to a school outside one's own school district/
異曲同工;いきょくどうこう;/(n) different in appearance but essentially the same in content/equal in skills or workmanship but different in style or artistic flavor/the same for all practical purposes/
自己弁護;じこべんご;"/(n,vs) defending oneself/self-justification/self-vindication; an excuse/a rationalization/"
僭上越権;せんじょうえっけん;/(n) exceeding (overstepping) one's powers (competence, authority)/abuse of one's legal authority/acting ultra vires/
異国情調;いこくじょうちょう;/(n) exotic mood/exotic atmosphere/exoticism/
異国趣味;いこくしゅみ;/(n) taste for the exotic/infatuation with a foreign way of life/exoticism/
勝手次第;かってしだい;/(adj-na,adj-no,n) acting according to one's inclinations/
勝手放題;かってほうだい;/(adj-na,adj-no,n) at one's sweet will/doing whatever one pleases/however one pleases/
義理一遍;ぎりいっぺん;/(adj-na,adj-no,n) perfunctory/going-through-the-motions sort of (invitation, gift, etc.)/
一体全体;いったいぜんたい;/(adv) what (how, where, why, who) on earth?/what (how, where, why, who) in the world?/
達成可能;たっせいかのう;/(n,adj-na) achievable/attainable/
物心一如;ぶっしんいちにょ;/(exp,n) Matter and mind are one./body and mind as one/
一刻一刻;いっこくいっこく;"/(n,adv) hourly/from hour to hour/moment by moment/momently; from one minute to the next/with each passing moment/"
一歩一歩;いっぽいっぽ;/(n-adv,n) step by step/every step/
一瞬絶句;いっしゅんぜっく;/(n,vs) breaking off short (in one's speech)/rendered speechless for a moment/
一致結束;いっちけっそく;/(n,vs) closing ranks/uniting and working together/coming together for fighting/
貫禄不足;かんろくぶそく;"/(adj-na,adj-no,n) lacking enough gravity for (a position/task); being an insignificant figure for (a position/task)/"
内外多事;ないがいたじ;/(adj-na,adj-no,n) things being very eventful at home and abroad/
正確無比;せいかくむひ;/(adj-na,adj-no,n) unmatched (unparalleled) accuracy/
至純至高;しじゅんしこう;/(adj-na,adj-no,n) utmost purity/
至純至精;しじゅんしせい;/(adj-na,adj-no,n) utmost purity/
愚図愚図;ぐずぐず;"/(adj-na,adv,exp) tardily/hesitantly/hesitatingly; dilly-dallying/lingering/complaining/"
空々寂々;くうくうじゃくじゃく;"/(adj-no,adj-t,adv-to) deserted and lonesome/quiet and alone; innocent and nonattached/All is void./"
内心忸怩;ないしんじくじ;/(adj-t,adv-to) ashamed deep in one's heart/blushing with shame when one remembers something/
名声嘖々;めいせいさくさく;/(adj-t,adv-to) highly renowned/on everybody's lips/enjoying a high reputation/
寒気凛々;かんきりんりん;/(adj-t,adv-to) it (the weather) being piercing (bitterly) cold/
脱線行為;だっせんこうい;"/(n) aberration/aberrant behavior/eccentric (erratic) behavior; indulging in an escapade/"
虚脱状態;きょだつじょうたい;/(n) state of lethargy/absolute bewilderment/daze/mental numbness/
生死一如;せいしいちにょ;/(exp,n) Life and death are the two faces of the same coin./
一切皆空;いっさいかいくう;/(exp,n) Matter is void/All is vanity./
応変能力;おうへんのうりょく;/(n) ability to take proper steps to meet the situation/ability to adapt oneself to (the requirement of) the moment/
奉納相撲;ほうのうずもう;/(n) sumo exhibition match held in the precincts of a Shinto shrine/
官能小説;かんのうしょうせつ;/(n) amorous (erotic) novel/pornographic novel/
潜在能力;せんざいのうりょく;/(n) potential/latent faculty/potential capacity/
花嫁修業;はなよめしゅうぎょう;/(n) training for homemaking/training in homemaking arts/
自浄能力;じじょうのうりょく;/(n) self-cleansing power/being capable of purifying oneself/
人気失墜;にんきしっつい;/(n) decline in public favor/fall in popularity/
気儘勝手;きままかって;/(n,adj-na) self-willed/(doing or saying things) to suit one's own convenience/
勝手気儘;かってきまま;/(n,adj-na) self-willed/(doing or saying things) to suit one's own convenience/oblivious to the convenience of others/
手前勝手;てまえがって;/(n,adj-na) (very) selfish/self-centered/self-willed/self-seeking/
国家多事;こっかたじ;/(n,adj-no) eventful times for the nation/the nation being in turmoil/the storm clouds gathering in the land/
側近政治;そっきんせいじ;/(n) administration by close advisers/kitchen cabinet/
一昨昨月;いっさくさくげつ;/(n-adv,n-t) three months ago/
一昨々日;いっさくさくじつ;/(n-adv,n-t) two days before yesterday/three days back (ago)/
一昨昨夜;いっさくさくや;/(n-adv,n-t) two nights before last/three nights back (ago)/
家事一切;かじいっさい;/(n) all the domestic (housekeeping) chores/
世事一切;せじいっさい;/(n) all the worldly matters/
政治決着;せいじけっちゃく;/(n) a political settlement/settling (a dispute) politically (without resorting to force)/
気分一新;きぶんいっしん;/(n) complete change of mood/thoroughly refreshing one's spirits/
家財一切;かざいいっさい;/(n) complete set of household goods/
一言隻句;いちごんせっく;/(n) every single word and phrase/each and every word/
一語一句;いちごいっく;/(n) every single word and phrase/each and every word/
衰退一途;すいたいいっと;/(n) (falling into a) continuous decline/being on the wane/
伊達眼鏡;だてめがね;/(n) glasses for show/fashionable eyeglasses worn for appearance's sake/
月下老人;げっかろうじん;/(n) go-between/matchmaker/
出世街道;しゅっせかいどう;/(n) highway to success/
蛇心仏口;じゃしんぶっこう;/(n) (jashinbukkou/dashinbukkou)being cunning and spiteful, yet honey-tongued with feigned kindness/
七言絶句;しちごんぜっく;/(n) poem of four lines, each of seven (Chinese) characters/
実践倫理;じっせんりんり;/(n) practical ethics (morality)/
女人結界;にょにんけっかい;/(n) prohibition against women entering a sacred area/
人心刷新;じんしんさっしん;/(n) radically changing public sentiment/leading the thought of the people to an entirely different channel/
六百六号;ろっぴゃくろくごう;/(n) Salvarsan 606/
道具一式;どうぐいっしき;/(n) set of tools (implements)/kit/outfit/
詩人墨客;しじんぼっかく;/(n) (shijinbokkaku/shijinbokkyaku)poets and artists/persons who take delight in such refined pursuits as poetry, literature, painting, and calligraphy/
神社仏閣;じんじゃぶっかく;/(n) (Shinto) shrines and (Buddhist) temples/
滑稽諧謔;こっけいかいぎゃく;/(n) smooth-talking and humorous/with jocose and comical airs/
国家存亡;こっかそんぼう;/(n) the fate of a nation/life-or-death (situation) for a nation/national crisis/
一世一元;いっせいいちげん;/(n) the practice of assigning one era name to one emperor/
接客態度;せっきゃくたいど;/(n) the way one waits on customers/one's behavior toward (attitude to) customers (visitors)/
官々接待;かんかんせったい;/(n) the wining and dining of public officials by other public officials at public expense/
全員一致;ぜんいんいっち;/(n) unanimity/
刻苦精励;こっくせいれい;/(n,vs) be arduous/work diligently enduring hardships/make a strenuous effort/
一斉射撃;いっせいしゃげき;/(n,vs) fusillade (of fire, insults, etc.)/volley (of bullets, protests, etc.)/barrage of (criticism, heckling, questions, etc.)/
二進一退;にしんいったい;/(n,vs) two steps forward, one step back/
明明後日;しあさって;/(shiasatte/myoumyougonichi) (n-adv,n-t) two days after tomorrow/three days from now (hence)/
突如異変;とつじょいへん;/(n) sudden and dramatic event (incident)/sudden and strange phenomenon/
実践道徳;じっせんどうとく;/(n) practical ethics (morality)/
友達感覚;ともだちかんかく;/(n) relationship that is like that of friends/
窃盗行為;せっとうこうい;/(n) theft/act of larceny/
即金取引;そっきんとりひき;/(n,vs) cash (spot) transaction/
説得上手;せっとくじょうず;/(n,adj-na) persuasiveness/skilled in the art of persuasion/
盗人根性;ぬすっとこんじょう;/(n) (nusuttokonjou/nusubitokonjou)thievish nature (character)/thieving heart/cunning and greedy character/
平明達意;へいめいたつい;/(n) plain and lucid/articulate/
一夫一婦;いっぷいっぷ;/(n) monogamy/
一服休憩;いっぷくきゅうけい;/(n,vs) tea (coffee, cigarette) break/
櫛風浴雨;しっぷうよくう;/(n) struggling through wind and rain/undergoing hardships/
如露如電;にょろにょでん;/(n,exp) existence (as we percieve it) is as mutable and incorporeal as is the morning dew or a flash of lightning/
嫉視反目;しっしはんもく;/(n,vs) jealousy and enmity/being jealous of and at odds with (each other)/
煩悶懊悩;はんもんおうのう;/(n,vs) anguish/agony/
失敬千万;しっけいせんばん;/(adj-na) extremely rude (impertinent, impolite)/
一定不変;いっていふへん;"/(n) invariable/constant/fixed (and unchangeable)/permanent; immutable/unwavering/"
落花紛々;らっかふんぷん;/(adj-no,adj-t,adv-to) (the sight of) blossoms falling in confusion/
絶対服従;ぜったいふくじゅう;/(n) absolute obedience/complete submission/
日中勤務;にっちゅうきんむ;/(n) daytime work/day shift/
一虚一実;いっきょいちじつ;/(n) constantly changing phase and being highly unpredictable/
邪正一如;じゃしょういちにょ;/(exp,n) Wrong and right are but two faces of the same coin./
一生一度;いっしょういちど;/(n,adj-no) once in one's life/once in a lifetime/
寂光浄土;じゃっこうじょうど;/(n) Buddhist paradise (heaven)/
一回勝負;いっかいしょうぶ;/(n) contest decided by a single round (bout)/contest decided by a single roll of dice/one-shot game (contest)/make-or-break game/
葬式仏教;そうしきぶっきょう;/(n) funeral Buddhism/(reliance on) Buddhism only for funerals/
説教坊主;せっきょうぼうず;/(n) tub-thumping preacher/preacher (priest) who is good at delivering a sermon/pulpiteer (usually with contemptuous implication)/
克己精進;こっきしょうじん;/(n,vs) self-control and close application/self-denial and diligent devotion/
一生不犯;いっしょうふぼん;/(n) (strict) observance of the Buddhist precept of lifelong celibacy/
積極果敢;せっきょくかかん;/(n,adj-na) aggressive/active and bold (daring)/resolute determination/
積極財政;せっきょくざいせい;/(n) expansionary fiscal policy/
処世達者;しょせいたっしゃ;/(n,adj-na) knowing how to get on in the world/knowing the secret of success in life/
職権乱用;しょっけんらんよう;/(n) abuse of (one's) authority/abuse of (one's) public office/
専断横行;せんだんおうこう;/(n) prevalence of arbitrariness/rife with arbitrary decisions (acting on one's own authority)/
撲滅運動;ぼくめつうんどう;/(n) exterminatory measure/eradication campaign/
花嫁学校;はなよめがっこう;/(n) school for training bachelor girls in homemaking arts/(a type of) finishing school/
無断外泊;むだんがいはく;/(n,vs) staying out overnight without giving notice/spending night(s) away from home without permission (leave)/
芸術家肌;げいじゅつかはだ;/(n) be something of an artist/have something of the artist in one/
委細面談;いさいめんだん;/(exp) Details when I see you./Details (particulars) to be discussed (arranged) personally (by interview)./
吾唯足知;われただたるをしる;/(exp) I am content with what I am (have)./Rich is the person who is content with what he is./
満員御礼;まんいんおんれい;/(exp,n) All Seats (Tickets) Sold, Thank you./
全員無事;ぜんいんぶじ;/(exp,n) Everyone is safe (all right)./
傍点訳者;ぼうてんやくしゃ;/(exp) Reading(s) added by translator./
善哉善哉;ぜんざいぜんざい;/(exp) Well done!/Great!/Bravo!/
政治家肌;せいじかはだ;/(n) be something of a politician/have something of the politician in one/
営々黙々;えいえいもくもく;/(adj-t,adv-to) assiduously and quietly/
孜々営々;ししえいえい;/(adj-t,adv-to) assiduously/with unremitting zeal/
桑田滄海;そうでんそうかい;/(exp,n) The word is a scene of constant changes (as a mulberry field changing into a blue sea)./
緞帳芝居;どんちょうしばい;/(n) low-class (Kabuki) theater (play)/
現実認識;げんじつにんしき;/(n) accepting (acknowledging) the reality/
責任問題;せきにんもんだい;/(n) a question (an issue) of where responsibility (liability) lies/a question of who is responsible (to blame)/
二度手間;にどでま;/(n) double effort/waste of time/botched job (that has to be done all over again)/
家系伝説;かけいでんせつ;/(n) family legend/
任意同行;にんいどうこう;/(n) going along voluntarily to be questioned by law officers/
武家伝奏;ぶけでんそう;/(n) Imperial official in charge of communication between the shogunate and the court (during the Muromachi and Edo periods)/
認識不足;にんしきぶそく;/(n) lack of (adequate) knowledge or understanding/being ignorant of/being ill-informed about/
出前講師;でまえこうし;/(n) lecturer on demand/guest speaker on demand/
宣伝攻勢;せんでんこうせい;/(n) propaganda campaign (offensive)/advertising (promotional) offensive/
宣伝工作;せんでんこうさく;/(n) propaganda work/propaganda efforts (maneuvers)/
出来具合;できぐあい;/(n) the (result) outcome/performance/workmanship/doneness/
責任回避;せきにんかいひ;/(n,vs) avoidance of responsibility/shirking (one's) responsibility/
許認可権;きょにんかけん;/(n) ministerial authority to grant permits and approvals/
当惑気味;とうわくぎみ;/(adj-na,adj-no,n) being somewhat puzzled/looking somewhat baffled/
放蕩生活;ほうとうせいかつ;/(n) fast living/a dissipated life/a riotous life/
放蕩息子;ほうとうむすこ;/(n) profligate (dissolute) son/
残忍非情;ざんにんひじょう;/(n,adj-na) utterly callous/atrociously brutal/cruel and inhuman/
道化芝居;どうけしばい;/(n) farce/low comedy/
堅忍持久;けんにんじきゅう;/(n) dogged perseverance/untiring patience/
自由放任;じゆうほうにん;/(n) noninterference/nonintervention/permissiveness/laissez-faire/
遊蕩三昧;ゆうとうざんまい;/(n) being absorbed in self-indulgent pleasures/giving oneself up to debauchery and dissipation/
先祖伝承;せんぞでんしょう;/(n,adj-no) what has been (orally) handed down from generation to generation/legend/folk tale/
民間伝承;みんかんでんしょう;/(n) folklore/folk tale/legend/
緞帳役者;どんちょうやくしゃ;/(n) low-class (Kabuki) actor/actor who plays in low-class (cheap) theater/
先祖伝来;せんぞでんらい;/(n,adj-no) inherited from the ancestors/handed down from generation to generation/
祖先伝来;そせんでんらい;/(n,adj-no) inherited from the ancestors/handed down from generation to generation/
鮮血淋漓;せんけつりんり;/(adj-t,adv-to) dripping with fresh blood/
物議騒然;ぶつぎそうぜん;/(adj-t,adv-to) tumultuous public discussion/noisy public criticism/
痛快淋漓;つうかいりんり;/(adj-t,adv-to) very thrilling/extremely delightful/awfully pleasant/intensely satisfying/
出没自在;しゅつぼつじざい;"/(n,adj-na) appearing and disappearing at will/elusive; phantom-like/"
絶滅寸前;ぜつめつすんぜん;/(n) the point (edge, verge, brink) of extinction/
満悦至極;まんえつしごく;"/(n,adj-na) highly delighted/very pleased/deeply satisfied; brimming over with satisfaction/"
狡猾老獪;こうかつろうかい;/(n,adj-na) sly and crafty/
資質英明;ししつえいめい;/(n,adj-na) wise and clear-sighted/intelligent and astute by nature/blessed with talents/
人物本位;じんぶつほんい;/(n,adj-no) chiefly on the basis of someone's personal character/
警察沙汰;けいさつざた;/(n) a matter for the police/with the police involved/a brush with the law/
人品骨柄;じんぴんこつがら;/(n) a person's appearance and physique/a person's bearing (presence)/
泡沫景気;ほうまつけいき;/(n) bubble boom/ephemeral boom/
捏造記事;ねつぞうきじ;/(n) fabricated story/cooked up (news) report/
善意通訳;ぜんいつうやく;/(n) goodwill guide/volunteer guide and interpreter for foreign residents and tourists/
説話文学;せつわぶんがく;/(n) legendary literature/narrative literature/
死活問題;しかつもんだい;/(n) matter (question) of life or death/vital question/
御味御汁;おみおつけ;/(n) miso soup/
神仏混淆;しんぶつこんこう;/(n) mixture (synthesis) of Buddhism and Shintoism/
択一問題;たくいつもんだい;/(n) multiple-choice question/
泡沫候補;ほうまつこうほ;/(n) no-hope candidate/frivolous candidate/candidate unworthy of serious consideration/
防遏手段;ぼうあつしゅだん;/(n) preventive measure/
活字世論;かつじせろん;/(n) public opinion (sentiment) as reflected in the print media/
先決問題;せんけつもんだい;/(n) question to be settled first/matter calling for prior settlement/the first consideration/
通過儀礼;つうかぎれい;/(n) rite of passage/
通勤地獄;つうきんじごく;/(n) the hellish stress of commuting/the daily hell of overcrowded commuter trains/
混雑具合;こんざつぐあい;/(n) the state (degree) of congestion/how bad traffic jams are/
同一人物;どういつじんぶつ;/(n) the (very) same person/one and the same (person)/
一期末代;いちごまつだい;/(n) this world (life) and the next/eternity/
画一思考;かくいつしこう;/(n) uniformity of thought/uniform thinking/
琴瑟相和;きんしつそうわ;/(n,vs) marital harmony/living (together) happily as husband and wife/
自己実現;じこじつげん;/(n,vs) self-actualization/self-fulfillment/self-realization/
税金泥棒;ぜいきんどろぼう;/(n) person living off other people's taxes/tax parasite/(a derogatory term for) public servants/
凡庸愚昧;ぼんようぐまい;/(adj-na,adj-no,n) ordinary and ignorant/mediocre and stupid/
失礼千万;しつれいせんばん;/(adj-na) extremely rude (impertinent, impolite)/
迂闊千万;うかつせんばん;/(adj-na) very careless/quite thoughtless/
戦列復帰;せんれつふっき;/(n,vs) return to the battle line/come back to the game (on to the field)/a comeback/
生活不安;せいかつふあん;/(n) worry (uncertainty, uneasiness, insecurity) about one's life (future)/
執務心得;しつむこころえ;/(n) guide to office routine/guide to the performance of official duties/
活字中毒;かつじちゅうどく;/(n) addiction to the printed word/reading addict/book (print) junkie/
綿密周到;めんみつしゅうとう;/(n,adj-na) detailed and careful/scrupulous/meticulous/elaborate/
簡潔明瞭;かんけつめいりょう;/(n,adj-na) clear and concise/
緊張緩和;きんちょうかんわ;/(n) detente/easing (relation) of tension/
追善興行;ついぜんこうぎょう;/(n) memorial performance/performance in memory of someone/
俗物根性;ぞくぶつこんじょう;/(n) snobbery/snobbishness/philistinism/vulgar and ostentatious nature (disposition)/
恍惚状態;こうこつじょうたい;/(n) state of ecstasy (rapture)/trance/senile dementia/
追従外交;ついしょうがいこう;/(n) sycophantic diplomacy/servile diplomacy/
実力次第;じつりょくしだい;/(n) according to (depending on) one's ability/if one is good (competent, talented) enough/
実力本位;じつりょくほんい;"/(n,adj-no) the precedence of merit/performance orientation; ability- (merit-) based (promotion, pay scale, etc.)/"
実力伯仲;じつりょくはくちゅう;/(n) (the two persons/sides) being evenly matched in ability/
実用本位;じつようほんい;/(n,adj-no) pragmatism/functionalism/practicality/being intended for practical purposes/
末期養子;まつごようし;/(n) deathbed adoption of a successor (to prevent extinction of the family line)/person adopted by someone on his deathbed/
強気相場;つよきそうば;/(n) strong (bull(ish)) market/
逸楽生活;いつらくせいかつ;/(n) a life given up to pleasure/pleasure-seeking lifestyle/
滅多矢鱈;めったやたら;"/(adj-na,adv) reckless/indiscriminate/haphazard/frantic; excessive/undue/absurd/needless/"
一朝有事;いっちょうゆうじ;/(exp,n) (when) the time of need arises/should an emergency occur/
団塊世代;だんかいせだい;/(n) the babyboomers/the baby boom generation/
信仰箇条;しんこうかじょう;/(n) article of faith/article of belief/
縦横自在;じゅうおうじざい;"/(n,adj-na) freely/right and left/active without any restraint; with unrestricted energy in all directions/"
才気縦横;さいきじゅうおう;/(n,adj-na) resourceful and quick-witted/showing a flash of brilliance/have a keen (sparkling) intellect/
縦横無礙;じゅうおうむげ;/(adj-na,adj-no,n) being as free as the air/active without any restraint/
縦割行政;たてわりぎょうせい;"/(n) vertically segmented administrative system; overcompartmentalized bureaucracy/a system in which interministerial rivalry diminishes overall efficiency/"
狐狸妖怪;こりようかい;"/(n) foxes and badgers (which were believed to bewitch humans) and all sorts of bogies/sly fellow who does evil by stealth; tricksters/"
人生朝露;じんせいちょうろ;/(exp,n) Man's life vanishes like a dew./A person's life is as fleeting as a morning dew./
町人気質;ちょうにんかたぎ;/(n) a townsman's (independent) spirit/mercantile spirit/
世界思潮;せかいしちょう;/(n) main currents (the trend) of thinking in the world/
顔面紅潮;がんめんこうちょう;/(n) one's face turning red/with a flush on one's face/
下町情緒;したまちじょうちょ;/(n) the friendly atmosphere of the traditional commercial and working-class neighborhoods/
下町人情;したまちにんじょう;/(n) the milk of human kindness of the people of the traditional commercial and working-class neighborhoods/
時代思潮;じだいしちょう;/(n) the trends (current(s)) of the times/
現状把握;げんじょうはあく;/(n) grasping the present situation/having an accurate grasp of the situation/
町人風情;ちょうにんふぜい;/(n) (the likes of) a mere tradesman/
町人根性;ちょうにんこんじょう;/(n) a townsman's (independent) spirit/mercantile spirit/
事情聴取;じじょうちょうしゅ;/(n,vs) police interview/police questioning a witness (suspect) to obtain information (about a crime)/
状況把握;じょうきょうはあく;/(n) one's grasp of the situation/knowing how matters stand/
懲戒免職;ちょうかいめんしょく;/(n) bad conduct (dishonorable) discharge/disciplinary dismissal (discharge)/
要点把握;ようてんはあく;/(n) grasping the (main) point/seizing the essence (of a matter)/
弁明口調;べんめいくちょう;/(n) apologetic (defensive) tone of voice/
一本調子;いっぽんぢょうし;/(n,adj-na) (ipponjoushi/ipponchoushi)monotone/dullness/repetition/
説教調子;せっきょうぢょうし;/(n) (in a) preaching tone/
追跡調査;ついせきちょうさ;/(n) follow-up study (survey)/
演説口調;えんぜつくちょう;/(n) oratorical tone/
念仏往生;ねんぶつおうじょう;/(n) passing away peacefully to be reborn in Paradise through invocation of Amitabha/
固着観念;こちゃくかんねん;/(n) a fixation/fixed idea/obsession/
固定観念;こていかんねん;/(n) stereotype/prejudice/fixed idea/
残虐非道;ざんぎゃくひどう;/(n,adj-na) inhumanity/atrocity/abominable cruelty/
御調子者;おちょうしもの;/(n) flip/luck-pusher/frivolous person/person who readily chimes in with others/person who gets arried away easily/
無想無念;むそうむねん;/(n,adj-no) being free from all distracting thoughts/keeping one's mind clear of all worldly thoughts/being free from all ideas and thoughts/
口不調法;くちぶちょうほう;/(n,adj-na) poor talker/inarticulate person/awkward in expressing oneself/clumsy in the use of language/
猟奇文学;りょうきぶんがく;/(n) bizarre literature/the literature of the bizarre/
懸念材料;けねんざいりょう;/(n) cause (grounds) for concern (anxiety)/reason for uneasiness/
不調法者;ぶちょうほうもの;/(n) clumsy person/bungler/person with no particular talents (in performing arts)/nondrinker/nonsmoker/
命令口調;めいれいくちょう;/(n) tone of command/authoritative tone/commanding tone/
念願成就;ねんがんじょうじゅ;/(n,vs) attainment of one's most cherished desire/one's earnest prayer being answered/
猟奇小説;りょうきしょうせつ;/(n) bizarre story (novel)/
身上調書;しんじょうちょうしょ;/(n) personal information form/dossier on an individual/
身上調査;しんじょうちょうさ;/(n,vs) examine (investigate into) a person's history/
地所観念;じしょかんねん;/(n) the orientation of time and place/awareness of the existing situation/
生活残業;せいかつざんぎょう;/(n,vs) (working) overtime to make ends meet (to support one's lifestyle)/
超世俗的;ちょうせぞくてき;/(adj-na) unworldly/supermundane/free from worldly cares (concerns)/
営業路線;えいぎょうろせん;/(n) (1) railroad (bus) lines (routes) in operation/(2) business plan (policy)/
跋扈跳梁;ばっこちょうりょう;/(n,vs) evildoers being rampant and roaming at will/
風俗営業;ふうぞくえいぎょう;/(n) (1) business offering food and entertainment/cabaret, club and restaurant business/(2) sex-related business/
簡明直截;かんめいちょくせつ;"/(n,adj-na) simple and plain/frank, direct and unambivalent; straightforward/"
人気絶頂;にんきぜっちょう;/(n) at the height (peak) of one's popularity/
長尺映画;ちょうじゃくえいが;/(n) long film (movie)/
直言直筆;ちょくげんちょくひつ;/(n,vs) speak and write plainly (frankly)/speak and write without reserve/
田舎大尽;いなかだいじん;/(n) provincial (country) millionaire/
田舎気質;いなかかたぎ;/(n) rusticity/provincialism/
胴長短足;どうながたんそく;/(n) having a long torso and short legs/long-bodied and short-legged/
増長天狗;ぞうちょうてんぐ;/(n) braggart/boaster/self-conceited person/
党議拘束;とうぎこうそく;/(n) compulsory adherence to a party decision/restrictions on party debate/
団子状態;だんごじょうたい;/(n) being bunched up together/being crowded together/
不正直者;ふしょうじきもの;/(n) dishonest person/
青春群像;せいしゅんぐんぞう;/(n) youthful crowd/crowd of young people coming into their own/
青春時代;せいしゅんじだい;/(n) one's youth/one's youthful days (years)/the flower of one's youth/the springtime of one's life/
正直一途;しょうじきいちず;/(adj-na,adj-no,n) steadfastly honest/
正直一遍;しょうじきいっぺん;/(n,adj-na) honest to a fault/one's only strength being his (her) honesty/having no redeeming feature except for being honest/
陳情合戦;ちんじょうかっせん;/(n) competitive lobbying/rivalry in campaigning (for and against)/
長講一席;ちょうこういっせき;/(n) (make) a long talk (discourse, lecture)/
延長保育;えんちょうほいく;/(n) extended-hours childcare (in day-care centers for parents working into the night)/
御涙頂戴;おなみだちょうだい;/(n) tearjerker/sob story/maudlin tale/
長者番付;ちょうじゃばんづけ;/(n) list of the richest people/list of the very highest income earners/billionaire's list/
